año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2023,ALCALDIA,GUSTAVO RESTREPO,1442,RAFAEL URIBE URIBE,-74.10616393599997,4.575755499000024,POINT (-74.10616393599997 4.575755499000024),SAN JOSE
2023,ALCALDIA,SANTO DOMINGO,1438,CIUDAD BOLIVAR,-74.17893964099994,4.578844444000026,POINT (-74.17893964099994 4.578844444000026),ISMAEL PERDOMO
2023,ALCALDIA,CEDID SAN PABLO,1435,BOSA,-74.1876,4.5998,POINT (-74.1876 4.5998),BOSA CENTRAL
2023,ALCALDIA,EL PARAISO,1434,CIUDAD BOLIVAR,-74.15899211599998,4.552388765000046,POINT (-74.15899211599998 4.552388765000046),LUCERO
2023,ALCALDIA,BETHLEMITAS-CALLE 65,1429,CHAPINERO,-74.05779338299999,4.64885683600005,POINT (-74.05779338299999 4.64885683600005),PARDO RUBIO
2023,ALCALDIA,ANGLO AMERICANO,1429,USAQUEN,-74.02898538599999,4.747961736000036,POINT (-74.02898538599999 4.747961736000036),LA URIBE
2023,ALCALDIA,UNIVERSIDAD DISTRITAL,1426,CHAPINERO,-74.06579504799998,4.62818951600002,POINT (-74.06579504799998 4.62818951600002),CHAPINERO
2023,ALCALDIA,SENA CALLE 65,1426,CHAPINERO,-74.06288077299996,4.65175626000007,POINT (-74.06288077299996 4.65175626000007),CHAPINERO
2023,ALCALDIA,LA EUROPA,1423,ENGATIVA,-74.09357475199994,4.683808993000071,POINT (-74.09357475199994 4.683808993000071),LAS FERIAS
2023,ALCALDIA,OLAYA,1421,RAFAEL URIBE URIBE,-74.10905678999995,4.583496479000075,POINT (-74.10905678999995 4.583496479000075),QUIROGA
2023,ALCALDIA,LOS HEROES,1420,KENNEDY,-74.14522563599996,4.62054082700007,POINT (-74.14522563599996 4.62054082700007),KENNEDY CENTRAL
2023,ALCALDIA,FLORENCIA,1418,ENGATIVA,-74.10526331599993,4.69956810900004,POINT (-74.10526331599993 4.69956810900004),BOYACA REAL
2023,ALCALDIA,EL SAUCEDAL,1415,KENNEDY,-74.16282556699997,4.633038830000032,POINT (-74.16282556699997 4.633038830000032),CORABASTOS
2023,ALCALDIA,CODEMA,1413,KENNEDY,-74.16555885199995,4.64829351700007,POINT (-74.16555885199995 4.64829351700007),CALANDAIMA
2023,ALCALDIA,USMINIA,1402,USME,-74.11448729499995,4.495438658000069,POINT (-74.11448729499995 4.495438658000069),COMUNEROS
2023,ALCALDIA,MURILLO TORO,1400,LA CANDELARIA,-74.075,4.6001,POINT (-74.075 4.6001),LA CANDELARIA
2023,ALCALDIA,COLEGIO COLSUBSIDIO CHICALA,1398,BOSA,-74.18101530099995,4.625223078000033,POINT (-74.18101530099995 4.625223078000033),BOSA OCCIDENTAL
2023,ALCALDIA,VALLES DE CAFAM,1395,USME,-74.11805941599994,4.507653595000022,POINT (-74.11805941599994 4.507653595000022),COMUNEROS
2023,ALCALDIA,LOS ALCAZARES,1395,BARRIOS UNIDOS,-74.07035057899998,4.663748039000041,POINT (-74.07035057899998 4.663748039000041),LOS ALCAZARES
2023,ALCALDIA,COLEGIO LICEO DE CERVANTES EL RETIRO,1392,CHAPINERO,-74.04943288199996,4.664575900000045,POINT (-74.04943288199996 4.664575900000045),EL REFUGIO
2023,ALCALDIA,INEM FRANCISCO DE PAULA SANTANDER SEDE A,1383,KENNEDY,-74.15550350899997,4.624982828000043,POINT (-74.15550350899997 4.624982828000043),KENNEDY CENTRAL
2023,ALCALDIA,SAN FRANCISCO SEDE A,1376,CIUDAD BOLIVAR,-74.14975263099996,4.562514262000036,POINT (-74.14975263099996 4.562514262000036),SAN FRANCISCO
2023,ALCALDIA,SALON COMUNAL MARSELLA,1372,KENNEDY,-74.12702548099998,4.632976377000034,POINT (-74.12702548099998 4.632976377000034),BAVARIA
2023,ALCALDIA,EL VERGEL,1370,LOS MARTIRES,-74.09426546999998,4.596321872000033,POINT (-74.09426546999998 4.596321872000033),SANTA ISABEL
2023,ALCALDIA,VILLA ADRIANA,1363,KENNEDY,-74.12908471199995,4.612923953000063,POINT (-74.12908471199995 4.612923953000063),AMERICAS
2023,ALCALDIA,CENTRO COMERCIAL DE LA 93,1363,CHAPINERO,-74.05147766699997,4.67684229200006,POINT (-74.05147766699997 4.67684229200006),CHICO LAGO
2023,ALCALDIA,SAN JOSE BAVARIA-ABRAHAM LINCOLN,1361,SUBA,-74.06104163399993,4.756619186000023,POINT (-74.06104163399993 4.756619186000023),BRITALIA
2023,ALCALDIA,SANTA SOFIA,1357,BARRIOS UNIDOS,-74.06707617899997,4.670677322000074,POINT (-74.06707617899997 4.670677322000074),LOS ALCAZARES
2023,ALCALDIA,SANTA FE,1357,LOS MARTIRES,-74.07940438199995,4.61516279500006,POINT (-74.07940438199995 4.61516279500006),LA SABANA
2023,ALCALDIA,SAN LUIS,1356,TEUSAQUILLO,-74.06726194899994,4.64830091400006,POINT (-74.06726194899994 4.64830091400006),GALERIAS
2023,ALCALDIA,PALACIO SAN FRANCISCO,1354,SANTA FE,-74.07359544099995,4.601961525000036,POINT (-74.07359544099995 4.601961525000036),LAS NIEVES
2023,ALCALDIA,UNIVERSIDAD MILITAR,1347,USAQUEN,-74.04260518899997,4.683697676000065,POINT (-74.04260518899997 4.683697676000065),USAQUEN
2023,ALCALDIA,PALERMO SUR,1341,RAFAEL URIBE URIBE,-74.10971793799996,4.543099721000033,POINT (-74.10971793799996 4.543099721000033),DIANA TURBAY
2023,ALCALDIA,CENTRAL QUIROGA,1339,RAFAEL URIBE URIBE,-74.11908819699994,4.579885019000073,POINT (-74.11908819699994 4.579885019000073),QUIROGA
2023,ALCALDIA,BATAVIA,1337,FONTIBON,-74.15300324099996,4.682683578000024,POINT (-74.15300324099996 4.682683578000024),FONTIBON
2023,ALCALDIA,"NUEVO MUZU ""A""",1336,TUNJUELITO,-74.14759957699994,4.586123155000053,POINT (-74.14759957699994 4.586123155000053),VENECIA
2023,ALCALDIA,JIMENEZ DE QUESADA,1323,BOSA,-74.18843550999998,4.606190850000075,POINT (-74.18843550999998 4.606190850000075),BOSA CENTRAL
2023,ALCALDIA,LAURELES II,1316,BOSA,-74.20015505899994,4.609059013000035,POINT (-74.20015505899994 4.609059013000035),BOSA CENTRAL
2023,ALCALDIA,VILLA DEL RIO II,1310,BOSA,-74.15738736799995,4.602225416000067,POINT (-74.15738736799995 4.602225416000067),APOGEO
